record_id,order_id,payment_id,customer_id,amount_inr,amount_paise,currency,created_at,status,narration,ground_truth_label
led_1027,order_RZP1027,pay_live_1027261,cust_996,1899.0,189900,INR,2026-08-12 17:00:00,CAPTURED,PG Capture Quantum Softwares Ref: order_RZP1027,CLEAN
led_1040,order_RZP1040,pay_live_1040785,cust_235,23499.0,2349900,INR,2026-08-14 20:00:00,CAPTURED,PG Capture Titanium Supply Ref: order_RZP1040,CLEAN
led_1002,order_RZP1002,pay_live_1002130,cust_617,23800.0,2380000,INR,2026-08-10 21:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1002,CLEAN
led_1030,order_RZP1030,pay_live_1030265,cust_600,62850.0,6285000,INR,2026-08-13 22:00:00,CAPTURED,PG Capture TechNova Solutions Ref: order_RZP1030,CLEAN
led_1034,order_RZP1034,pay_live_1034316,cust_508,74550.0,7455000,INR,2026-08-14 16:00:00,CAPTURED,PG Capture OmniVenture India Ref: order_RZP1034,CLEAN
led_1038,order_RZP1038,pay_live_1038160,cust_980,8400.0,840000,INR,2026-08-14 20:00:00,CAPTURED,PG Capture Nexus Payments Co Ref: order_RZP1038,CLEAN
led_1059,order_ANOM_1059,pay_anom_1059350,cust_953,31100.0,3110000,INR,2026-08-13 17:00:00,CAPTURED,PG Capture Vanguard Media Order order_ANOM_1059,DATE_MISMATCH
led_1026,order_RZP1026,pay_live_1026373,cust_545,12950.0,1295000,INR,2026-08-12 17:00:00,CAPTURED,PG Capture Solaria Energy Ref: order_RZP1026,CLEAN
led_1044,order_RZP1044,pay_live_1044761,cust_845,7750.0,775000,INR,2026-08-15 16:00:00,CAPTURED,PG Capture Zenith Logistics Ref: order_RZP1044,CLEAN
led_1023,order_RZP1023,pay_live_1023796,cust_494,62500.0,6250000,INR,2026-08-12 22:00:00,CAPTURED,PG Capture Horizon FinTech Ref: order_RZP1023,CLEAN
led_1035,order_RZP1035,pay_live_1035787,cust_562,46399.0,4639900,INR,2026-08-14 16:00:00,CAPTURED,PG Capture Vanguard Media Ref: order_RZP1035,CLEAN
led_1015,order_RZP1015,pay_live_1015376,cust_963,71650.0,7165000,INR,2026-08-11 16:00:00,CAPTURED,PG Capture Nexus Payments Co Ref: order_RZP1015,CLEAN
led_1024,order_RZP1024,pay_live_1024641,cust_796,58100.0,5810000,INR,2026-08-12 17:00:00,CAPTURED,PG Capture Starlight Commerce Ref: order_RZP1024,CLEAN
led_1037,order_RZP1037,pay_live_1037121,cust_107,61700.0,6170000,INR,2026-08-14 16:00:00,CAPTURED,PG Capture Nexus Payments Co Ref: order_RZP1037,CLEAN
led_1057_A,order_ANOM_1057,pay_anom_1057568,cust_736,9400.0,940000,INR,2026-08-11 17:00:00,CAPTURED,PG Capture Solaria Energy Order order_ANOM_1057,DUPLICATE_ENTRY
led_1021,order_RZP1021,pay_live_1021508,cust_621,23900.0,2390000,INR,2026-08-12 15:00:00,CAPTURED,PG Capture Vanguard Media Ref: order_RZP1021,CLEAN
led_1005,order_RZP1005,pay_live_1005384,cust_532,17899.0,1789900,INR,2026-08-10 21:00:00,CAPTURED,PG Capture TechNova Solutions Ref: order_RZP1005,CLEAN
led_1025,order_RZP1025,pay_live_1025838,cust_868,71399.0,7139900,INR,2026-08-12 17:00:00,CAPTURED,PG Capture Zenith Logistics Ref: order_RZP1025,CLEAN
led_1045,order_RZP1045,pay_live_1045296,cust_243,56450.0,5645000,INR,2026-08-15 13:00:00,CAPTURED,PG Capture OmniVenture India Ref: order_RZP1045,CLEAN
led_1001,order_RZP1001,pay_live_1001658,cust_132,61950.0,6195000,INR,2026-08-10 21:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1001,CLEAN
led_1003,order_RZP1003,pay_live_1003716,cust_833,58900.0,5890000,INR,2026-08-10 21:00:00,CAPTURED,PG Capture TechNova Solutions Ref: order_RZP1003,CLEAN
led_1049,order_RZP1049,pay_live_1049102,cust_392,28650.0,2865000,INR,2026-08-15 17:00:00,CAPTURED,PG Capture Equinox Labs Ref: order_RZP1049,CLEAN
led_1028,order_RZP1028,pay_live_1028282,cust_961,65550.0,6555000,INR,2026-08-13 22:00:00,CAPTURED,PG Capture Zenith Logistics Ref: order_RZP1028,CLEAN
led_1006,order_RZP1006,pay_live_1006320,cust_489,11900.0,1190000,INR,2026-08-10 12:00:00,CAPTURED,PG Capture Solaria Energy Ref: order_RZP1006,CLEAN
led_1004,order_RZP1004,pay_live_1004765,cust_703,24050.0,2405000,INR,2026-08-10 21:00:00,CAPTURED,PG Capture Horizon FinTech Ref: order_RZP1004,CLEAN
led_1042,order_RZP1042,pay_live_1042516,cust_774,11100.0,1110000,INR,2026-08-14 20:00:00,CAPTURED,PG Capture OmniVenture India Ref: order_RZP1042,CLEAN
led_1032,order_RZP1032,pay_live_1032180,cust_878,51200.0,5120000,INR,2026-08-13 19:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1032,CLEAN
led_1033,order_RZP1033,pay_live_1033775,cust_371,57700.0,5770000,INR,2026-08-14 12:00:00,CAPTURED,PG Capture Titanium Supply Ref: order_RZP1033,CLEAN
led_1056,order_ANOM_1056,pay_anom_1056344,cust_760,42500.0,4250000,INR,2026-08-13 20:00:00,CAPTURED,PG Capture Starlight Commerce Order order_ANOM_1056,DATE_MISMATCH
led_1041,order_RZP1041,pay_live_1041840,cust_926,26350.0,2635000,INR,2026-08-14 20:00:00,CAPTURED,PG Capture Titanium Supply Ref: order_RZP1041,CLEAN
led_1046,order_RZP1046,pay_live_1046573,cust_927,9250.0,925000,INR,2026-08-15 14:00:00,CAPTURED,PG Capture Nexus Payments Co Ref: order_RZP1046,CLEAN
led_1022,order_RZP1022,pay_live_1022605,cust_256,6300.0,630000,INR,2026-08-12 15:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1022,CLEAN
led_1014,order_RZP1014,pay_live_1014173,cust_350,56199.0,5619900,INR,2026-08-11 13:00:00,CAPTURED,PG Capture BlueSky Health Ref: order_RZP1014,CLEAN
led_1039,order_RZP1039,pay_live_1039438,cust_385,54100.0,5410000,INR,2026-08-14 20:00:00,CAPTURED,PG Capture Aura Enterprises Ref: order_RZP1039,CLEAN
led_1019,order_RZP1019,pay_live_1019246,cust_862,15700.0,1570000,INR,2026-08-12 15:00:00,CAPTURED,PG Capture Starlight Commerce Ref: order_RZP1019,CLEAN
led_1018,order_RZP1018,pay_live_1018317,cust_569,42099.0,4209900,INR,2026-08-12 15:00:00,CAPTURED,PG Capture Titanium Supply Ref: order_RZP1018,CLEAN
led_1010,order_RZP1010,pay_live_1010171,cust_891,69200.0,6920000,INR,2026-08-10 17:00:00,CAPTURED,PG Capture CloudScale Retail Ref: order_RZP1010,CLEAN
led_1036,order_RZP1036,pay_live_1036223,cust_446,24500.0,2450000,INR,2026-08-14 16:00:00,CAPTURED,PG Capture Nexus Payments Co Ref: order_RZP1036,CLEAN
led_1048,order_RZP1048,pay_live_1048318,cust_488,7500.0,750000,INR,2026-08-15 17:00:00,CAPTURED,PG Capture Equinox Labs Ref: order_RZP1048,CLEAN
led_1058,order_ANOM_1058,pay_anom_1058175,cust_457,53800.0,5380000,INR,2026-08-15 12:00:00,CAPTURED,PG Capture OmniVenture India Order order_ANOM_1058,FEE_TAX_DISCREPANCY
led_1008,order_RZP1008,pay_live_1008649,cust_665,40200.0,4020000,INR,2026-08-10 17:00:00,CAPTURED,PG Capture Zenith Logistics Ref: order_RZP1008,CLEAN
led_1017,order_RZP1017,pay_live_1017423,cust_316,28900.0,2890000,INR,2026-08-11 16:00:00,CAPTURED,PG Capture Equinox Labs Ref: order_RZP1017,CLEAN
led_1009,order_RZP1009,pay_live_1009400,cust_821,60600.0,6060000,INR,2026-08-10 17:00:00,CAPTURED,PG Capture Vanguard Media Ref: order_RZP1009,CLEAN
led_1057_B,order_ANOM_1057_DUP,pay_anom_1057568,cust_676,9400.0,940000,INR,2026-08-11 17:02:00,CAPTURED,PG Capture Duplicate Webhook order_ANOM_1057,DUPLICATE_ENTRY
led_1007,order_RZP1007,pay_live_1007199,cust_370,36799.0,3679900,INR,2026-08-10 12:00:00,CAPTURED,PG Capture Vanguard Media Ref: order_RZP1007,CLEAN
led_1043,order_RZP1043,pay_live_1043520,cust_769,7099.0,709900,INR,2026-08-15 16:00:00,CAPTURED,PG Capture Quantum Softwares Ref: order_RZP1043,CLEAN
led_1020,order_RZP1020,pay_live_1020674,cust_697,61350.0,6135000,INR,2026-08-12 15:00:00,CAPTURED,PG Capture Starlight Commerce Ref: order_RZP1020,CLEAN
